"sex"	"age"	"edu"	"occ"	"oexp"	"income"
"1"	"f"	62	"low"	"low"	35	953
"2"	"m"	32	"high"	"high"	6	1224
"3"	"m"	56	"med."	"high"	36	1466
"4"	"f"	63	"med."	"med."	38	1339
"5"	"m"	20	"low"	"low"	3	1184
"6"	"f"	38	"med."	"med."	12	1196
"7"	"f"	39	"med."	"low"	13	951
"8"	"f"	53	"low"	"low"	30	1039
"9"	"m"	49	"low"	"med."	31	1438
"10"	"f"	54	"low"	"low"	30	1000
"11"	"m"	51	"med."	"high"	30	1523
"12"	"m"	52	"low"	"high"	32	1555
"13"	"f"	25	"med."	"med."	0	962
"14"	"m"	58	"low"	"high"	39	1369
"15"	"m"	40	"low"	"high"	22	1431
"16"	"f"	59	"low"	"low"	35	1064
"17"	"f"	31	"med."	"med."	5	950
"18"	"f"	48	"low"	"low"	23	1195
"19"	"m"	34	"med."	"med."	13	1280
"20"	"f"	58	"high"	"high"	28	1595
"21"	"m"	26	"low"	"low"	7	940
"22"	"f"	35	"high"	"high"	8	1572
"23"	"m"	34	"low"	"med."	14	1064
"24"	"m"	43	"med."	"high"	20	1657
"25"	"f"	49	"high"	"high"	16	1402
"26"	"m"	39	"high"	"high"	13	1666
"27"	"f"	18	"med."	"low"	0	816
"28"	"m"	51	"med."	"med."	30	1566
"29"	"f"	28	"high"	"med."	0	1338
"30"	"m"	51	"med."	"high"	29	1593
"31"	"f"	38	"med."	"low"	11	1104
"32"	"m"	57	"low"	"med."	40	1333
"33"	"m"	57	"high"	"high"	32	1789
"34"	"f"	30	"high"	"med."	3	1039
"35"	"f"	53	"med."	"med."	28	1365
"36"	"f"	59	"low"	"med."	38	1329
"37"	"m"	36	"low"	"low"	18	1089
"38"	"m"	45	"med."	"high"	24	1593
"39"	"f"	57	"med."	"high"	37	1398
"40"	"f"	55	"low"	"med."	33	909
"41"	"m"	37	"high"	"high"	9	1462
"42"	"m"	56	"low"	"high"	39	1463
"43"	"m"	60	"low"	"med."	44	1500
"44"	"m"	51	"med."	"high"	29	1494
"45"	"m"	38	"high"	"high"	13	1868
"46"	"m"	44	"low"	"low"	25	911
"47"	"f"	25	"low"	"low"	4	977
"48"	"f"	30	"med."	"med."	6	1191
"49"	"f"	37	"low"	"low"	18	1159
"50"	"m"	36	"low"	"low"	17	1221
"51"	"m"	24	"med."	"low"	4	1095
"52"	"m"	34	"med."	"med."	12	1452
"53"	"m"	20	"med."	"low"	0	1007
"54"	"f"	61	"low"	"low"	37	1033
"55"	"m"	45	"med."	"high"	23	1493
"56"	"m"	45	"high"	"high"	18	1513
"57"	"m"	23	"high"	"med."	0	1268
"58"	"f"	42	"high"	"med."	10	1444
"59"	"f"	45	"med."	"med."	21	1436
"60"	"f"	25	"med."	"low"	1	965
"61"	"m"	28	"med."	"med."	7	1156
"62"	"f"	35	"high"	"high"	10	1546
"63"	"m"	29	"med."	"med."	6	1355
"64"	"f"	57	"low"	"low"	37	1081
"65"	"f"	62	"low"	"low"	41	1194
"66"	"m"	51	"high"	"high"	25	1929
"67"	"m"	27	"low"	"low"	10	1141
"68"	"m"	48	"med."	"med."	26	1319
"69"	"m"	36	"low"	"low"	19	1258
"70"	"m"	55	"low"	"med."	37	1545
"71"	"f"	45	"high"	"high"	19	1491
"72"	"f"	62	"low"	"med."	44	1367
"73"	"f"	38	"low"	"low"	14	1067
"74"	"m"	40	"low"	"low"	22	1173
"75"	"m"	56	"high"	"high"	30	1820
"76"	"f"	59	"high"	"high"	31	1549
"77"	"f"	43	"low"	"med."	15	1160
"78"	"m"	52	"high"	"high"	27	1794
"79"	"f"	34	"med."	"med."	9	1130
"80"	"f"	59	"med."	"med."	34	1241
"81"	"f"	47	"med."	"med."	22	1182
"82"	"f"	51	"med."	"med."	28	1484
"83"	"f"	46	"low"	"low"	25	829
"84"	"f"	64	"med."	"med."	38	1295
"85"	"m"	59	"low"	"med."	42	1513
"86"	"f"	18	"med."	"med."	0	987
"87"	"m"	38	"med."	"high"	18	1442
"88"	"f"	21	"low"	"low"	0	950
"89"	"f"	41	"med."	"med."	17	1137
"90"	"m"	31	"med."	"med."	8	1281
"91"	"m"	19	"low"	"low"	2	1092
"92"	"m"	47	"low"	"med."	27	1380
"93"	"m"	23	"low"	"med."	7	1456
"94"	"m"	37	"high"	"high"	13	1665
"95"	"f"	32	"med."	"med."	6	1082
"96"	"f"	51	"med."	"med."	25	1061
"97"	"f"	46	"med."	"low"	21	1260
